1	chr1
HSCHR15_1_CTG8	GL383554.1
HSCHR15_2_CTG8	GL383555.2
HSCHR16_1_CTG3_1	GL383556.1
HSCHR16_2_CTG3_1	GL383557.1
HSCHR17_1_CTG1	GL383563.3
HSCHR17_1_CTG4	GL383564.2
HSCHR17_2_CTG4	GL383565.1
HSCHR17_3_CTG4	GL383566.1
HSCHR18_1_CTG1_1	GL383567.1
HSCHR18_1_CTG2	GL383568.1
HSCHR18_1_CTG2_1	GL383569.1
HSCHR18_2_CTG1_1	GL383570.1
HSCHR18_2_CTG2	GL383571.1
HSCHR18_2_CTG2_1	GL383572.1
HSCHR19_1_CTG2	GL383573.1
HSCHR19_1_CTG3_1	GL383574.1
HSCHR19_2_CTG2	GL383575.2
HSCHR19_3_CTG2	GL383576.1
HSCHR20_1_CTG1	GL383577.2
HSCHR21_1_CTG1_1	GL383578.2
HSCHR21_2_CTG1_1	GL383579.2
HSCHR21_3_CTG1_1	GL383580.2
HSCHR21_4_CTG1_1	GL383581.2
HSCHR22_1_CTG1	GL383582.2
HSCHR22_1_CTG2	GL383583.2
HSCHR2_2_CTG7_2	GL582966.2
HSCHR12_1_CTG1	GL877875.1
HSCHR12_2_CTG2	GL877876.1
HSCHR5_2_CTG1	GL949742.1
HSCHR19LRC_COX1_CTG3_1	GL949746.1
HSCHR19LRC_COX2_CTG3_1	GL949747.2
HSCHR19LRC_LRC_I_CTG3_1	GL949748.2
HSCHR19LRC_LRC_J_CTG3_1	GL949749.2
HSCHR19LRC_LRC_S_CTG3_1	GL949750.2
HSCHR19LRC_LRC_T_CTG3_1	GL949751.2
HSCHR19LRC_PGF1_CTG3_1	GL949752.1
HSCHR19LRC_PGF2_CTG3_1	GL949753.2
CHR_HG107_PATCH	HG107_PATCH
CHR_HG126_PATCH	HG126_PATCH
CHR_HG1311_PATCH	HG1311_PATCH
CHR_HG1342_HG2282_PATCH	HG1342_HG2282_PATCH
CHR_HG1362_PATCH	HG1362_PATCH
CHR_HG142_HG150_NOVEL_TEST	HG142_HG150_NOVEL_TEST
CHR_HG151_NOVEL_TEST	HG151_NOVEL_TEST
CHR_HG1651_PATCH	HG1651_PATCH
CHR_HG1832_PATCH	HG1832_PATCH
CHR_HG2021_PATCH	HG2021_PATCH
CHR_HG2022_PATCH	HG2022_PATCH
CHR_HG2023_PATCH	HG2023_PATCH
CHR_HG2030_PATCH	HG2030_PATCH
CHR_HG2058_PATCH	HG2058_PATCH
CHR_HG2062_PATCH	HG2062_PATCH
CHR_HG2063_PATCH	HG2063_PATCH
CHR_HG2066_PATCH	HG2066_PATCH
CHR_HG2072_PATCH	HG2072_PATCH
CHR_HG2095_PATCH	HG2095_PATCH
CHR_HG2104_PATCH	HG2104_PATCH
CHR_HG2116_PATCH	HG2116_PATCH
CHR_HG2128_PATCH	HG2128_PATCH
CHR_HG2191_PATCH	HG2191_PATCH
CHR_HG2213_PATCH	HG2213_PATCH
CHR_HG2216_PATCH	HG2216_PATCH
CHR_HG2217_PATCH	HG2217_PATCH
CHR_HG2232_PATCH	HG2232_PATCH
CHR_HG2233_PATCH	HG2233_PATCH
CHR_HG2235_PATCH	HG2235_PATCH
CHR_HG2237_PATCH	HG2237_PATCH
CHR_HG2239_PATCH	HG2239_PATCH
CHR_HG2241_PATCH	HG2241_PATCH
CHR_HG2242_HG2243_PATCH	HG2242_HG2243_PATCH
CHR_HG2244_HG2245_PATCH	HG2244_HG2245_PATCH
CHR_HG2247_PATCH	HG2247_PATCH
CHR_HG2249_PATCH	HG2249_PATCH
CHR_HG2288_HG2289_PATCH	HG2288_HG2289_PATCH
CHR_HG2290_PATCH	HG2290_PATCH
CHR_HG2291_PATCH	HG2291_PATCH
CHR_HG2334_PATCH	HG2334_PATCH
CHR_HG23_PATCH	HG23_PATCH
CHR_HG26_PATCH	HG26_PATCH
CHR_HG986_PATCH	HG986_PATCH
CHR_HSCHR10_1_CTG1	HSCHR10_1_CTG1
CHR_HSCHR10_1_CTG2	HSCHR10_1_CTG2
CHR_HSCHR10_1_CTG3	HSCHR10_1_CTG3
CHR_HSCHR10_1_CTG4	HSCHR10_1_CTG4
CHR_HSCHR10_1_CTG6	HSCHR10_1_CTG6
CHR_HSCHR11_1_CTG1_1	HSCHR11_1_CTG1_1
CHR_HSCHR11_1_CTG1_2	HSCHR11_1_CTG1_2
CHR_HSCHR11_1_CTG2	HSCHR11_1_CTG2
CHR_HSCHR11_1_CTG3	HSCHR11_1_CTG3
CHR_HSCHR11_1_CTG5	HSCHR11_1_CTG5
CHR_HSCHR11_1_CTG6	HSCHR11_1_CTG6
CHR_HSCHR11_1_CTG7	HSCHR11_1_CTG7
CHR_HSCHR11_1_CTG8	HSCHR11_1_CTG8
CHR_HSCHR11_2_CTG1	HSCHR11_2_CTG1
CHR_HSCHR11_2_CTG1_1	HSCHR11_2_CTG1_1
CHR_HSCHR11_3_CTG1	HSCHR11_3_CTG1
CHR_HSCHR12_1_CTG1	HSCHR12_1_CTG1
CHR_HSCHR12_1_CTG2	HSCHR12_1_CTG2
CHR_HSCHR12_1_CTG2_1	HSCHR12_1_CTG2_1
CHR_HSCHR12_2_CTG1	HSCHR12_2_CTG1
CHR_HSCHR12_2_CTG2	HSCHR12_2_CTG2
CHR_HSCHR12_2_CTG2_1	HSCHR12_2_CTG2_1
CHR_HSCHR12_3_CTG2	HSCHR12_3_CTG2
CHR_HSCHR12_3_CTG2_1	HSCHR12_3_CTG2_1
CHR_HSCHR12_4_CTG2	HSCHR12_4_CTG2
CHR_HSCHR12_4_CTG2_1	HSCHR12_4_CTG2_1
CHR_HSCHR12_5_CTG2	HSCHR12_5_CTG2
CHR_HSCHR12_5_CTG2_1	HSCHR12_5_CTG2_1
CHR_HSCHR12_6_CTG2_1	HSCHR12_6_CTG2_1
CHR_HSCHR12_7_CTG2_1	HSCHR12_7_CTG2_1
CHR_HSCHR13_1_CTG1	HSCHR13_1_CTG1
CHR_HSCHR13_1_CTG2	HSCHR13_1_CTG2
CHR_HSCHR13_1_CTG3	HSCHR13_1_CTG3
CHR_HSCHR13_1_CTG4	HSCHR13_1_CTG4
CHR_HSCHR13_1_CTG5	HSCHR13_1_CTG5
CHR_HSCHR13_1_CTG6	HSCHR13_1_CTG6
CHR_HSCHR13_1_CTG7	HSCHR13_1_CTG7
CHR_HSCHR13_1_CTG8	HSCHR13_1_CTG8
CHR_HSCHR14_1_CTG1	HSCHR14_1_CTG1
CHR_HSCHR14_2_CTG1	HSCHR14_2_CTG1
CHR_HSCHR14_3_CTG1	HSCHR14_3_CTG1
CHR_HSCHR14_7_CTG1	HSCHR14_7_CTG1
CHR_HSCHR15_1_CTG1	HSCHR15_1_CTG1
CHR_HSCHR15_1_CTG3	HSCHR15_1_CTG3
CHR_HSCHR15_1_CTG8	HSCHR15_1_CTG8
CHR_HSCHR15_2_CTG3	HSCHR15_2_CTG3
CHR_HSCHR15_2_CTG8	HSCHR15_2_CTG8
CHR_HSCHR15_3_CTG3	HSCHR15_3_CTG3
CHR_HSCHR15_3_CTG8	HSCHR15_3_CTG8
CHR_HSCHR15_4_CTG8	HSCHR15_4_CTG8
CHR_HSCHR15_5_CTG8	HSCHR15_5_CTG8
CHR_HSCHR15_6_CTG8	HSCHR15_6_CTG8
CHR_HSCHR16_1_CTG1	HSCHR16_1_CTG1
CHR_HSCHR16_1_CTG3_1	HSCHR16_1_CTG3_1
CHR_HSCHR16_2_CTG3_1	HSCHR16_2_CTG3_1
CHR_HSCHR16_3_CTG1	HSCHR16_3_CTG1
CHR_HSCHR16_3_CTG3_1	HSCHR16_3_CTG3_1
CHR_HSCHR16_4_CTG1	HSCHR16_4_CTG1
CHR_HSCHR16_4_CTG3_1	HSCHR16_4_CTG3_1
CHR_HSCHR16_5_CTG1	HSCHR16_5_CTG1
CHR_HSCHR16_CTG2	HSCHR16_CTG2
CHR_HSCHR17_10_CTG4	HSCHR17_10_CTG4
CHR_HSCHR17_1_CTG1	HSCHR17_1_CTG1
CHR_HSCHR17_1_CTG2	HSCHR17_1_CTG2
CHR_HSCHR17_1_CTG4	HSCHR17_1_CTG4
CHR_HSCHR17_1_CTG5	HSCHR17_1_CTG5
CHR_HSCHR17_1_CTG9	HSCHR17_1_CTG9
CHR_HSCHR17_2_CTG1	HSCHR17_2_CTG1
CHR_HSCHR17_2_CTG2	HSCHR17_2_CTG2
CHR_HSCHR17_2_CTG4	HSCHR17_2_CTG4
CHR_HSCHR17_2_CTG5	HSCHR17_2_CTG5
CHR_HSCHR17_3_CTG2	HSCHR17_3_CTG2
CHR_HSCHR17_3_CTG4	HSCHR17_3_CTG4
CHR_HSCHR17_4_CTG4	HSCHR17_4_CTG4
CHR_HSCHR17_5_CTG4	HSCHR17_5_CTG4
CHR_HSCHR17_6_CTG4	HSCHR17_6_CTG4
CHR_HSCHR17_7_CTG4	HSCHR17_7_CTG4
CHR_HSCHR17_8_CTG4	HSCHR17_8_CTG4
CHR_HSCHR17_9_CTG4	HSCHR17_9_CTG4
CHR_HSCHR18_1_CTG1_1	HSCHR18_1_CTG1_1
CHR_HSCHR18_1_CTG2	HSCHR18_1_CTG2
CHR_HSCHR18_1_CTG2_1	HSCHR18_1_CTG2_1
CHR_HSCHR18_2_CTG1_1	HSCHR18_2_CTG1_1
CHR_HSCHR18_2_CTG2	HSCHR18_2_CTG2
CHR_HSCHR18_2_CTG2_1	HSCHR18_2_CTG2_1
CHR_HSCHR18_3_CTG2_1	HSCHR18_3_CTG2_1
CHR_HSCHR18_4_CTG1_1	HSCHR18_4_CTG1_1
CHR_HSCHR18_5_CTG1_1	HSCHR18_5_CTG1_1
CHR_HSCHR18_ALT21_CTG2_1	HSCHR18_ALT21_CTG2_1
CHR_HSCHR18_ALT2_CTG2_1	HSCHR18_ALT2_CTG2_1
CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	HSCHR19KIR_ABC08_A1_HAP_CTG3_1
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	HSCHR19KIR_FH05_A_HAP_CTG3_1
CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	HSCHR19KIR_FH05_B_HAP_CTG3_1
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	HSCHR19KIR_FH06_A_HAP_CTG3_1
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	HSCHR19KIR_FH06_BA1_HAP_CTG3_1
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	HSCHR19KIR_FH08_A_HAP_CTG3_1
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	HSCHR19KIR_FH08_BAX_HAP_CTG3_1
CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	HSCHR19KIR_FH13_A_HAP_CTG3_1
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	HSCHR19KIR_FH13_BA2_HAP_CTG3_1
CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	HSCHR19KIR_FH15_A_HAP_CTG3_1
CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	HSCHR19KIR_FH15_B_HAP_CTG3_1
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	HSCHR19KIR_G085_A_HAP_CTG3_1
CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	HSCHR19KIR_G085_BA1_HAP_CTG3_1
CHR_HSCHR19KIR_G248_A_HAP_CTG3_1	HSCHR19KIR_G248_A_HAP_CTG3_1
CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	HSCHR19KIR_G248_BA2_HAP_CTG3_1
CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	HSCHR19KIR_GRC212_AB_HAP_CTG3_1
CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1
CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	HSCHR19KIR_LUCE_A_HAP_CTG3_1
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	HSCHR19KIR_RP5_B_HAP_CTG3_1
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	HSCHR19KIR_RSH_A_HAP_CTG3_1
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	HSCHR19KIR_RSH_BA2_HAP_CTG3_1
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	HSCHR19KIR_T7526_A_HAP_CTG3_1
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
CHR_HSCHR19LRC_COX1_CTG3_1	HSCHR19LRC_COX1_CTG3_1
CHR_HSCHR19LRC_COX2_CTG3_1	HSCHR19LRC_COX2_CTG3_1
CHR_HSCHR19LRC_LRC_I_CTG3_1	HSCHR19LRC_LRC_I_CTG3_1
CHR_HSCHR19LRC_LRC_J_CTG3_1	HSCHR19LRC_LRC_J_CTG3_1
CHR_HSCHR19LRC_LRC_S_CTG3_1	HSCHR19LRC_LRC_S_CTG3_1
CHR_HSCHR19LRC_LRC_T_CTG3_1	HSCHR19LRC_LRC_T_CTG3_1
CHR_HSCHR19LRC_PGF1_CTG3_1	HSCHR19LRC_PGF1_CTG3_1
CHR_HSCHR19LRC_PGF2_CTG3_1	HSCHR19LRC_PGF2_CTG3_1
CHR_HSCHR19_1_CTG2	HSCHR19_1_CTG2
CHR_HSCHR19_1_CTG3_1	HSCHR19_1_CTG3_1
CHR_HSCHR19_2_CTG2	HSCHR19_2_CTG2
CHR_HSCHR19_2_CTG3_1	HSCHR19_2_CTG3_1
CHR_HSCHR19_3_CTG2	HSCHR19_3_CTG2
CHR_HSCHR19_3_CTG3_1	HSCHR19_3_CTG3_1
CHR_HSCHR19_4_CTG2	HSCHR19_4_CTG2
CHR_HSCHR19_4_CTG3_1	HSCHR19_4_CTG3_1
CHR_HSCHR19_5_CTG2	HSCHR19_5_CTG2
CHR_HSCHR1_1_CTG11	HSCHR1_1_CTG11
CHR_HSCHR1_1_CTG3	HSCHR1_1_CTG3
CHR_HSCHR1_1_CTG31	HSCHR1_1_CTG31
CHR_HSCHR1_1_CTG32_1	HSCHR1_1_CTG32_1
CHR_HSCHR1_2_CTG3	HSCHR1_2_CTG3
CHR_HSCHR1_2_CTG31	HSCHR1_2_CTG31
CHR_HSCHR1_2_CTG32_1	HSCHR1_2_CTG32_1
CHR_HSCHR1_3_CTG3	HSCHR1_3_CTG3
CHR_HSCHR1_3_CTG31	HSCHR1_3_CTG31
CHR_HSCHR1_3_CTG32_1	HSCHR1_3_CTG32_1
CHR_HSCHR1_4_CTG3	HSCHR1_4_CTG3
CHR_HSCHR1_4_CTG31	HSCHR1_4_CTG31
CHR_HSCHR1_4_CTG32_1	HSCHR1_4_CTG32_1
CHR_HSCHR1_5_CTG3	HSCHR1_5_CTG3
CHR_HSCHR1_5_CTG32_1	HSCHR1_5_CTG32_1
CHR_HSCHR1_ALT2_1_CTG32_1	HSCHR1_ALT2_1_CTG32_1
CHR_HSCHR20_1_CTG1	HSCHR20_1_CTG1
CHR_HSCHR20_1_CTG2	HSCHR20_1_CTG2
CHR_HSCHR20_1_CTG3	HSCHR20_1_CTG3
CHR_HSCHR20_1_CTG4	HSCHR20_1_CTG4
CHR_HSCHR21_1_CTG1_1	HSCHR21_1_CTG1_1
CHR_HSCHR21_2_CTG1_1	HSCHR21_2_CTG1_1
CHR_HSCHR21_3_CTG1_1	HSCHR21_3_CTG1_1
CHR_HSCHR21_4_CTG1_1	HSCHR21_4_CTG1_1
CHR_HSCHR21_5_CTG2	HSCHR21_5_CTG2
CHR_HSCHR21_6_CTG1_1	HSCHR21_6_CTG1_1
CHR_HSCHR21_8_CTG1_1	HSCHR21_8_CTG1_1
CHR_HSCHR22_1_CTG1	HSCHR22_1_CTG1
CHR_HSCHR22_1_CTG2	HSCHR22_1_CTG2
CHR_HSCHR22_1_CTG3	HSCHR22_1_CTG3
CHR_HSCHR22_1_CTG4	HSCHR22_1_CTG4
CHR_HSCHR22_1_CTG5	HSCHR22_1_CTG5
CHR_HSCHR22_1_CTG6	HSCHR22_1_CTG6
CHR_HSCHR22_1_CTG7	HSCHR22_1_CTG7
CHR_HSCHR22_2_CTG1	HSCHR22_2_CTG1
CHR_HSCHR22_3_CTG1	HSCHR22_3_CTG1
CHR_HSCHR22_4_CTG1	HSCHR22_4_CTG1
CHR_HSCHR22_5_CTG1	HSCHR22_5_CTG1
CHR_HSCHR22_6_CTG1	HSCHR22_6_CTG1
CHR_HSCHR22_7_CTG1	HSCHR22_7_CTG1
CHR_HSCHR22_8_CTG1	HSCHR22_8_CTG1
CHR_HSCHR2_1_CTG1	HSCHR2_1_CTG1
CHR_HSCHR2_1_CTG15	HSCHR2_1_CTG15
CHR_HSCHR2_1_CTG5	HSCHR2_1_CTG5
CHR_HSCHR2_1_CTG7	HSCHR2_1_CTG7
CHR_HSCHR2_1_CTG7_2	HSCHR2_1_CTG7_2
CHR_HSCHR2_2_CTG1	HSCHR2_2_CTG1
CHR_HSCHR2_2_CTG15	HSCHR2_2_CTG15
CHR_HSCHR2_2_CTG7	HSCHR2_2_CTG7
CHR_HSCHR2_2_CTG7_2	HSCHR2_2_CTG7_2
CHR_HSCHR2_3_CTG1	HSCHR2_3_CTG1
CHR_HSCHR2_3_CTG15	HSCHR2_3_CTG15
CHR_HSCHR2_3_CTG7_2	HSCHR2_3_CTG7_2
CHR_HSCHR2_4_CTG1	HSCHR2_4_CTG1
CHR_HSCHR2_4_CTG7_2	HSCHR2_4_CTG7_2
CHR_HSCHR2_5_CTG7_2	HSCHR2_5_CTG7_2
CHR_HSCHR2_6_CTG7_2	HSCHR2_6_CTG7_2
CHR_HSCHR3_1_CTG1	HSCHR3_1_CTG1
CHR_HSCHR3_1_CTG2_1	HSCHR3_1_CTG2_1
CHR_HSCHR3_1_CTG3	HSCHR3_1_CTG3
CHR_HSCHR3_2_CTG2_1	HSCHR3_2_CTG2_1
CHR_HSCHR3_2_CTG3	HSCHR3_2_CTG3
CHR_HSCHR3_3_CTG1	HSCHR3_3_CTG1
CHR_HSCHR3_3_CTG2_1	HSCHR3_3_CTG2_1
CHR_HSCHR3_3_CTG3	HSCHR3_3_CTG3
CHR_HSCHR3_4_CTG2_1	HSCHR3_4_CTG2_1
CHR_HSCHR3_4_CTG3	HSCHR3_4_CTG3
CHR_HSCHR3_5_CTG2_1	HSCHR3_5_CTG2_1
CHR_HSCHR3_5_CTG3	HSCHR3_5_CTG3
CHR_HSCHR3_6_CTG3	HSCHR3_6_CTG3
CHR_HSCHR3_7_CTG3	HSCHR3_7_CTG3
CHR_HSCHR3_8_CTG3	HSCHR3_8_CTG3
CHR_HSCHR3_9_CTG3	HSCHR3_9_CTG3
CHR_HSCHR4_11_CTG12	HSCHR4_11_CTG12
CHR_HSCHR4_1_CTG12	HSCHR4_1_CTG12
CHR_HSCHR4_1_CTG4	HSCHR4_1_CTG4
CHR_HSCHR4_1_CTG6	HSCHR4_1_CTG6
CHR_HSCHR4_1_CTG8_1	HSCHR4_1_CTG8_1
CHR_HSCHR4_1_CTG9	HSCHR4_1_CTG9
CHR_HSCHR4_2_CTG12	HSCHR4_2_CTG12
CHR_HSCHR4_2_CTG4	HSCHR4_2_CTG4
CHR_HSCHR4_3_CTG12	HSCHR4_3_CTG12
CHR_HSCHR4_4_CTG12	HSCHR4_4_CTG12
CHR_HSCHR4_5_CTG12	HSCHR4_5_CTG12
CHR_HSCHR4_6_CTG12	HSCHR4_6_CTG12
CHR_HSCHR4_7_CTG12	HSCHR4_7_CTG12
CHR_HSCHR4_8_CTG12	HSCHR4_8_CTG12
CHR_HSCHR4_9_CTG12	HSCHR4_9_CTG12
CHR_HSCHR5_1_CTG1	HSCHR5_1_CTG1
CHR_HSCHR5_1_CTG1_1	HSCHR5_1_CTG1_1
CHR_HSCHR5_1_CTG5	HSCHR5_1_CTG5
CHR_HSCHR5_2_CTG1	HSCHR5_2_CTG1
CHR_HSCHR5_2_CTG1_1	HSCHR5_2_CTG1_1
CHR_HSCHR5_2_CTG5	HSCHR5_2_CTG5
CHR_HSCHR5_3_CTG1	HSCHR5_3_CTG1
CHR_HSCHR5_3_CTG1_1	HSCHR5_3_CTG1_1
CHR_HSCHR5_3_CTG5	HSCHR5_3_CTG5
CHR_HSCHR5_4_CTG1	HSCHR5_4_CTG1
CHR_HSCHR5_4_CTG1_1	HSCHR5_4_CTG1_1
CHR_HSCHR5_5_CTG1	HSCHR5_5_CTG1
CHR_HSCHR5_6_CTG1	HSCHR5_6_CTG1
CHR_HSCHR5_7_CTG1	HSCHR5_7_CTG1
CHR_HSCHR6_1_CTG10	HSCHR6_1_CTG10
CHR_HSCHR6_1_CTG2	HSCHR6_1_CTG2
CHR_HSCHR6_1_CTG3	HSCHR6_1_CTG3
CHR_HSCHR6_1_CTG4	HSCHR6_1_CTG4
CHR_HSCHR6_1_CTG5	HSCHR6_1_CTG5
CHR_HSCHR6_1_CTG6	HSCHR6_1_CTG6
CHR_HSCHR6_1_CTG7	HSCHR6_1_CTG7
CHR_HSCHR6_1_CTG8	HSCHR6_1_CTG8
CHR_HSCHR6_1_CTG9	HSCHR6_1_CTG9
CHR_HSCHR6_8_CTG1	HSCHR6_8_CTG1
CHR_HSCHR6_MHC_APD_CTG1	HSCHR6_MHC_APD_CTG1
CHR_HSCHR6_MHC_COX_CTG1	HSCHR6_MHC_COX_CTG1
CHR_HSCHR6_MHC_DBB_CTG1	HSCHR6_MHC_DBB_CTG1
CHR_HSCHR6_MHC_MANN_CTG1	HSCHR6_MHC_MANN_CTG1
CHR_HSCHR6_MHC_MCF_CTG1	HSCHR6_MHC_MCF_CTG1
CHR_HSCHR6_MHC_QBL_CTG1	HSCHR6_MHC_QBL_CTG1
CHR_HSCHR6_MHC_SSTO_CTG1	HSCHR6_MHC_SSTO_CTG1
CHR_HSCHR7_1_CTG1	HSCHR7_1_CTG1
CHR_HSCHR7_1_CTG4_4	HSCHR7_1_CTG4_4
CHR_HSCHR7_1_CTG6	HSCHR7_1_CTG6
CHR_HSCHR7_1_CTG7	HSCHR7_1_CTG7
CHR_HSCHR7_2_CTG1	HSCHR7_2_CTG1
CHR_HSCHR7_2_CTG4_4	HSCHR7_2_CTG4_4
CHR_HSCHR7_2_CTG6	HSCHR7_2_CTG6
CHR_HSCHR7_2_CTG7	HSCHR7_2_CTG7
CHR_HSCHR7_3_CTG6	HSCHR7_3_CTG6
CHR_HSCHR8_1_CTG1	HSCHR8_1_CTG1
CHR_HSCHR8_1_CTG6	HSCHR8_1_CTG6
CHR_HSCHR8_1_CTG7	HSCHR8_1_CTG7
CHR_HSCHR8_2_CTG1	HSCHR8_2_CTG1
CHR_HSCHR8_2_CTG7	HSCHR8_2_CTG7
CHR_HSCHR8_3_CTG1	HSCHR8_3_CTG1
CHR_HSCHR8_3_CTG7	HSCHR8_3_CTG7
CHR_HSCHR8_4_CTG1	HSCHR8_4_CTG1
CHR_HSCHR8_4_CTG7	HSCHR8_4_CTG7
CHR_HSCHR8_5_CTG1	HSCHR8_5_CTG1
CHR_HSCHR8_5_CTG7	HSCHR8_5_CTG7
CHR_HSCHR8_6_CTG1	HSCHR8_6_CTG1
CHR_HSCHR8_6_CTG7	HSCHR8_6_CTG7
CHR_HSCHR8_7_CTG1	HSCHR8_7_CTG1
CHR_HSCHR8_8_CTG1	HSCHR8_8_CTG1
CHR_HSCHR8_9_CTG1	HSCHR8_9_CTG1
CHR_HSCHR9_1_CTG1	HSCHR9_1_CTG1
CHR_HSCHR9_1_CTG2	HSCHR9_1_CTG2
CHR_HSCHR9_1_CTG3	HSCHR9_1_CTG3
CHR_HSCHR9_1_CTG4	HSCHR9_1_CTG4
CHR_HSCHR9_1_CTG5	HSCHR9_1_CTG5
CHR_HSCHR9_1_CTG6	HSCHR9_1_CTG6
CHR_HSCHR9_1_CTG7	HSCHR9_1_CTG7
CHR_HSCHRX_1_CTG3	HSCHRX_1_CTG3
CHR_HSCHRX_2_CTG12	HSCHRX_2_CTG12
CHR_HSCHRX_2_CTG3	HSCHRX_2_CTG3
MT	J01415.2
HG142_HG150_NOVEL_TEST	JH159136.1
HG151_NOVEL_TEST	JH159137.1
HSCHR17_4_CTG4	JH159146.1
HSCHR17_5_CTG4	JH159147.1
HSCHR17_6_CTG4	JH159148.1
HSCHR3_1_CTG1	JH636055.2
HSCHR6_1_CTG3	KB021644.2
HSCHR22_2_CTG1	KB663609.1
HSCHR6_8_CTG1	KI270758.1
HSCHR1_1_CTG32_1	KI270759.1
HSCHR1_1_CTG11	KI270760.1
HSCHR1_2_CTG32_1	KI270761.1
HSCHR1_1_CTG3	KI270762.1
HSCHR1_3_CTG32_1	KI270763.1
HSCHR1_4_CTG32_1	KI270764.1
HSCHR1_4_CTG31	KI270765.1
HSCHR1_2_CTG3	KI270766.1
HSCHR2_1_CTG15	KI270767.1
HSCHR2_3_CTG7_2	KI270768.1
HSCHR2_1_CTG1	KI270769.1
HSCHR2_2_CTG1	KI270770.1
HSCHR2_4_CTG7_2	KI270771.1
HSCHR2_1_CTG7	KI270772.1
HSCHR2_3_CTG1	KI270773.1
HSCHR2_4_CTG1	KI270774.1
HSCHR2_5_CTG7_2	KI270775.1
HSCHR2_3_CTG15	KI270776.1
HSCHR3_2_CTG2_1	KI270777.1
HSCHR3_3_CTG2_1	KI270778.1
HSCHR3_1_CTG3	KI270779.1
HSCHR3_4_CTG2_1	KI270780.1
HSCHR3_5_CTG2_1	KI270781.1
HSCHR3_2_CTG3	KI270782.1
HSCHR3_3_CTG1	KI270783.1
HSCHR3_9_CTG3	KI270784.1
HSCHR4_2_CTG12	KI270785.1
HSCHR4_3_CTG12	KI270786.1
HSCHR4_1_CTG8_1	KI270787.1
HSCHR4_4_CTG12	KI270788.1
HSCHR4_5_CTG12	KI270789.1
HSCHR4_1_CTG4	KI270790.1
HSCHR5_3_CTG1	KI270791.1
HSCHR5_4_CTG1	KI270792.1
HSCHR5_5_CTG1	KI270793.1
HSCHR5_6_CTG1	KI270794.1
HSCHR5_2_CTG5	KI270795.1
HSCHR5_4_CTG1_1	KI270796.1
HSCHR6_1_CTG4	KI270797.1
HSCHR6_1_CTG5	KI270798.1
HSCHR6_1_CTG6	KI270799.1
HSCHR6_1_CTG7	KI270800.1
HSCHR6_1_CTG8	KI270801.1
HSCHR6_1_CTG9	KI270802.1
HSCHR7_2_CTG6	KI270803.1
HSCHR7_1_CTG1	KI270804.1
HSCHR7_1_CTG7	KI270805.1
HSCHR7_1_CTG4_4	KI270806.1
HSCHR7_2_CTG7	KI270807.1
HSCHR7_3_CTG6	KI270808.1
HSCHR7_2_CTG4_4	KI270809.1
HSCHR8_1_CTG7	KI270810.1
HSCHR8_1_CTG1	KI270811.1
HSCHR8_2_CTG1	KI270812.1
HSCHR8_3_CTG1	KI270813.1
HSCHR8_1_CTG6	KI270814.1
HSCHR8_2_CTG7	KI270815.1
HSCHR8_3_CTG7	KI270816.1
HSCHR8_4_CTG7	KI270817.1
HSCHR8_4_CTG1	KI270818.1
HSCHR8_5_CTG7	KI270819.1
HSCHR8_6_CTG7	KI270820.1
HSCHR8_8_CTG1	KI270821.1
HSCHR8_9_CTG1	KI270822.1
HSCHR9_1_CTG5	KI270823.1
HSCHR10_1_CTG3	KI270824.1
HSCHR10_1_CTG4	KI270825.1
